# time bound_circ lift drag moment
0.028790 0.009085 -3.821595 -0.181281 -1.731405
0.043185 -0.051695 -10.832979 -0.033260 2.295181
0.057580 -0.066789 -10.926559 0.033261 2.159396
0.071974 -0.057075 -9.516948 0.056012 1.452776
0.086369 -0.037250 -8.999044 0.093665 1.209005
0.100764 -0.012925 -8.670652 0.132851 1.067688
0.115159 0.012256 -8.465562 0.173766 1.009362
0.129554 0.034849 -8.365554 0.217586 1.020564
0.143949 0.054804 -8.317956 0.263014 1.042291
0.158344 0.075018 -8.266355 0.307281 1.026054
0.172739 0.098316 -8.191208 0.348917 0.964579
0.187133 0.125397 -8.093613 0.387578 0.881866
0.201528 0.155557 -7.974915 0.422979 0.798629
0.215923 0.188046 -7.833283 0.454592 0.719959
0.230318 0.222499 -7.668473 0.482010 0.643233
0.244713 0.258743 -7.473245 0.504143 0.572093
0.259108 0.296278 -7.245318 0.520274 0.521229
0.273503 0.332928 -7.025235 0.534300 0.520073
0.287898 0.364194 -6.945876 0.561476 0.581270
0.302292 0.388642 -6.972684 0.599871 0.641758
0.316687 0.411037 -6.917822 0.627818 0.630817
0.331082 0.435914 -6.750479 0.640115 0.563124
0.345477 0.463619 -6.544517 0.644987 0.492622
0.359872 0.492447 -6.337147 0.647054 0.441950
0.374267 0.520469 -6.135315 0.647326 0.416900
0.388662 0.546512 -5.957594 0.648658 0.407580
0.403057 0.571333 -5.783243 0.648263 0.388356
0.417452 0.596309 -5.581258 0.641385 0.354249
0.431846 0.621185 -5.372786 0.631106 0.326878
0.446241 0.644509 -5.195782 0.623635 0.314755
0.460636 0.665830 -5.037446 0.617249 0.301047
0.475031 0.686486 -4.858934 0.605529 0.266866
0.489426 0.707910 -4.643640 0.585382 0.215976
0.503821 0.730268 -4.406210 0.559098 0.166201
0.518216 0.752818 -4.166149 0.530088 0.127722
0.532611 0.774591 -3.937614 0.501042 0.102932
0.547005 0.794953 -3.728252 0.473604 0.087800
0.561400 0.813960 -3.532642 0.446993 0.073401
0.575795 0.832028 -3.343595 0.420007 0.054555
0.590190 0.849333 -3.159015 0.392365 0.033410
0.604585 0.865773 -2.978503 0.364101 0.013060
0.618980 0.881393 -2.800092 0.334923 -0.008588
0.633375 0.896538 -2.617525 0.303646 -0.035420
0.647770 0.911516 -2.426268 0.269388 -0.066669
0.662164 0.926379 -2.227284 0.232384 -0.098672
0.676559 0.941045 -2.023966 0.193399 -0.128842
0.690954 0.955385 -1.820855 0.153467 -0.155827
0.705349 0.969213 -1.623414 0.113854 -0.178936
0.719744 0.982312 -1.435419 0.075487 -0.198342
0.734139 0.994488 -1.257659 0.038666 -0.214826
0.748534 1.005582 -1.089291 0.003329 -0.229167
0.762929 1.015467 -0.928664 -0.030771 -0.242166
0.777324 1.024113 -0.772686 -0.064208 -0.254935
0.791718 1.033875 -0.616754 -0.093209 -0.267998
0.806113 1.044885 -0.468244 -0.117576 -0.288323
0.820508 1.057122 -0.326801 -0.138601 -0.313421
0.834903 1.070573 -0.190672 -0.157201 -0.339970
0.849298 1.085227 -0.059447 -0.173669 -0.366422
0.863693 1.101073 0.066549 -0.188025 -0.392328
0.878088 1.118100 0.187724 -0.200485 -0.417913
0.892483 1.136296 0.305399 -0.211538 -0.443531
0.906877 1.155649 0.420761 -0.221679 -0.469227
0.921272 1.176147 0.534151 -0.231184 -0.494646
0.935667 1.197779 0.645433 -0.240156 -0.519205
0.950062 1.220535 0.754207 -0.248584 -0.542276
0.964457 1.244408 0.859684 -0.256349 -0.563474
0.978852 1.269389 0.961159 -0.263370 -0.582916
0.993247 1.295469 1.058783 -0.269772 -0.601085
1.007642 1.322636 1.153581 -0.275876 -0.618346
1.022036 1.350876 1.246531 -0.281978 -0.634597
1.036431 1.380169 1.337678 -0.288163 -0.649373
1.050826 1.410491 1.426136 -0.294323 -0.662233
1.065221 1.441812 1.510898 -0.300337 -0.672958
1.079616 1.474095 1.591396 -0.306197 -0.681448
1.094011 1.507292 1.667427 -0.311978 -0.687589
1.108406 1.541346 1.738945 -0.317793 -0.691256
1.122801 1.576191 1.805933 -0.323746 -0.692263
1.137196 1.611751 1.868150 -0.329891 -0.690268
1.151590 1.647944 1.924916 -0.336197 -0.684811
1.165985 1.684684 1.975346 -0.342606 -0.675521
1.180380 1.721876 2.018886 -0.349125 -0.662278
1.194775 1.759419 2.055619 -0.355880 -0.645175
1.209170 1.797186 2.085939 -0.363041 -0.624250
1.223565 1.835013 2.109793 -0.370703 -0.599181
1.237960 1.872677 2.126188 -0.378816 -0.569188
1.252355 1.909889 2.133459 -0.387236 -0.533260
1.266749 1.946294 2.130125 -0.395856 -0.490488
1.281144 1.981456 2.115773 -0.404714 -0.440316
1.295539 2.014870 2.091434 -0.414019 -0.382725
1.309934 2.046019 2.059628 -0.424143 -0.318621
1.324329 2.074447 2.023676 -0.435511 -0.249767
