# time bound_circ lift drag moment
0.028630 -0.034564 -0.404485 0.001342 0.082620
0.042945 -0.036756 -0.584674 0.004201 0.154356
0.057260 -0.043912 -0.647907 0.006731 0.201964
0.071575 -0.049812 -0.645206 0.008656 0.189425
0.085891 -0.055462 -0.653446 0.010706 0.186766
0.100206 -0.060864 -0.661423 0.012756 0.184012
0.114521 -0.066096 -0.670118 0.014824 0.181965
0.128836 -0.071204 -0.679259 0.016908 0.180357
0.143151 -0.076221 -0.688716 0.019009 0.179060
0.157466 -0.081170 -0.698390 0.021125 0.177983
0.171781 -0.086068 -0.708213 0.023255 0.177063
0.186096 -0.090928 -0.718137 0.025398 0.176259
0.200411 -0.095758 -0.728127 0.027554 0.175539
0.214726 -0.100567 -0.738157 0.029720 0.174881
0.229042 -0.105360 -0.748208 0.031896 0.174270
0.243357 -0.110141 -0.758266 0.034080 0.173693
0.257672 -0.114913 -0.768318 0.036273 0.173141
0.271987 -0.119680 -0.778356 0.038471 0.172605
0.286302 -0.124444 -0.788370 0.040675 0.172081
0.300617 -0.129205 -0.798353 0.042883 0.171563
0.314932 -0.133967 -0.808298 0.045093 0.171046
0.329247 -0.138728 -0.818199 0.047306 0.170528
0.343562 -0.143491 -0.828050 0.049518 0.170004
0.357877 -0.148256 -0.837845 0.051730 0.169472
0.372193 -0.153022 -0.847581 0.053939 0.168931
0.386508 -0.157790 -0.857254 0.056145 0.168377
0.400823 -0.162560 -0.866860 0.058346 0.167811
0.415138 -0.167332 -0.876398 0.060542 0.167231
0.429453 -0.172106 -0.885865 0.062730 0.166636
0.443768 -0.176881 -0.895258 0.064910 0.166025
0.458083 -0.181658 -0.904576 0.067081 0.165399
0.472398 -0.186435 -0.913817 0.069241 0.164756
0.486713 -0.191212 -0.922978 0.071390 0.164095
0.501028 -0.195989 -0.932058 0.073525 0.163418
0.515344 -0.200765 -0.941056 0.075647 0.162722
0.529659 -0.205540 -0.949969 0.077753 0.162009
0.543974 -0.210313 -0.958795 0.079843 0.161277
0.558289 -0.215084 -0.967534 0.081915 0.160526
0.572604 -0.219851 -0.976183 0.083969 0.159757
0.586919 -0.224615 -0.984741 0.086003 0.158968
0.601234 -0.229375 -0.993206 0.088016 0.158161
0.615549 -0.234129 -1.001578 0.090007 0.157334
0.629864 -0.238877 -1.009855 0.091975 0.156489
0.644179 -0.243620 -1.018037 0.093919 0.155624
0.658495 -0.248355 -1.026121 0.095838 0.154740
0.672810 -0.253082 -1.034107 0.097731 0.153837
0.687125 -0.257800 -1.041995 0.099597 0.152916
0.701440 -0.262510 -1.049783 0.101434 0.151975
0.715755 -0.267209 -1.057470 0.103243 0.151016
0.730070 -0.271898 -1.065056 0.105021 0.150038
0.744385 -0.276575 -1.072540 0.106769 0.149042
0.758700 -0.281241 -1.079919 0.108485 0.148027
0.773015 -0.285893 -1.087195 0.110168 0.146994
0.787330 -0.290532 -1.094365 0.111817 0.145943
0.801646 -0.295157 -1.101429 0.113432 0.144873
0.815961 -0.299766 -1.108386 0.115012 0.143786
0.830276 -0.304360 -1.115236 0.116555 0.142680
