# time bound_circ lift drag moment
0.028690 -0.075296 1.874866 -0.022210 -0.444565
0.043036 -0.069425 1.490502 -0.028268 -0.255851
0.057381 -0.073174 1.449902 -0.038479 -0.166467
0.071726 -0.072185 1.559240 -0.053243 -0.214863
0.086071 -0.069200 1.637228 -0.069068 -0.235736
0.100416 -0.064369 1.712518 -0.086552 -0.254746
0.114761 -0.058031 1.783122 -0.105569 -0.270061
0.129107 -0.050394 1.850677 -0.126126 -0.283089
0.143452 -0.041608 1.915867 -0.148212 -0.294413
0.157797 -0.031788 1.979126 -0.171813 -0.304414
0.172142 -0.021026 2.040722 -0.196910 -0.313335
0.186487 -0.009398 2.100832 -0.223481 -0.321346
0.200832 0.003034 2.159582 -0.251502 -0.328567
0.215178 0.016212 2.217075 -0.280947 -0.335094
0.229523 0.030089 2.273400 -0.311788 -0.341006
0.243868 0.044623 2.328645 -0.343998 -0.346373
0.258213 0.059776 2.382895 -0.377549 -0.351257
0.272558 0.075513 2.436227 -0.412411 -0.355713
0.286903 0.091803 2.488706 -0.448553 -0.359785
0.301249 0.108618 2.540383 -0.485940 -0.363510
0.315594 0.125931 2.591296 -0.524539 -0.366916
0.329939 0.135728 2.623679 -0.548299 -0.373870
0.344284 0.136560 2.632110 -0.562380 -0.339454
0.358629 0.129855 2.646391 -0.577184 -0.283060
0.372974 0.116934 2.669371 -0.593179 -0.234199
0.387320 0.099085 2.700894 -0.610457 -0.192175
0.401665 0.077279 2.740963 -0.629130 -0.155823
0.416010 0.052274 2.788771 -0.649184 -0.124537
0.430355 0.024699 2.843074 -0.670519 -0.097892
0.444700 -0.004913 2.902623 -0.693008 -0.075446
0.459046 -0.036109 2.965590 -0.716405 -0.056694
0.473391 -0.068516 3.029393 -0.740301 -0.041065
0.487736 -0.101921 3.103976 -0.766405 -0.028418
0.502081 -0.136062 3.170538 -0.791509 -0.018025
0.516426 -0.170777 3.230244 -0.815698 -0.008641
0.530771 -0.205961 3.298808 -0.841779 -0.002943
0.545117 -0.241596 3.361616 -0.867072 0.003240
0.559462 -0.277728 3.428445 -0.893375 0.010078
0.573807 -0.314347 3.497627 -0.920383 0.016903
0.588152 -0.351246 3.563340 -0.946930 0.019083
0.602497 -0.388036 3.565930 -0.960754 0.025559
0.616842 -0.425070 3.689336 -0.999428 0.019923
0.631188 -0.462143 3.695570 -1.013855 0.030052
0.645533 -0.499399 3.814379 -1.052195 0.023260
0.659878 -0.536570 3.833853 -1.069291 0.029216
0.674223 -0.573794 3.923933 -1.101795 0.026496
0.688568 -0.610800 3.970438 -1.124702 0.021513
0.702913 -0.647496 3.999455 -1.143522 0.021967
0.717259 -0.683868 4.091984 -1.176766 0.009563
0.731604 -0.719815 4.128350 -1.197011 0.006301
