# time bound_circ lift drag moment
0.028748 -0.184860 -1.453247 -0.192023 -1.569417
0.043122 -0.280830 -8.679284 0.085233 2.529847
0.057497 -0.329161 -8.905627 0.199774 2.371851
0.071871 -0.347291 -7.153943 0.201046 1.510762
0.086245 -0.348379 -6.383155 0.230697 1.145520
0.100619 -0.339154 -5.840824 0.260856 0.898642
0.114993 -0.323918 -5.463818 0.293653 0.743797
0.129367 -0.306475 -5.200336 0.329413 0.661267
0.143742 -0.289174 -4.999820 0.366138 0.616507
0.158116 -0.272734 -4.810017 0.399217 0.579988
0.172490 -0.256889 -4.607088 0.425644 0.535718
0.186864 -0.240985 -4.392439 0.445191 0.479420
0.201238 -0.224336 -4.167742 0.457753 0.412242
0.215612 -0.206468 -3.931971 0.462837 0.337983
0.229986 -0.187184 -3.696691 0.462275 0.260098
0.244361 -0.166383 -3.470613 0.457861 0.182864
0.258735 -0.143961 -3.247955 0.448741 0.110796
0.273109 -0.119877 -3.015725 0.432220 0.047265
0.287483 -0.094422 -2.775312 0.408377 -0.006867
0.301857 -0.068693 -2.556779 0.384290 -0.045854
0.316231 -0.044310 -2.368994 0.362963 -0.064505
0.330606 -0.022143 -2.223586 0.348472 -0.076842
0.344980 -0.001667 -2.085180 0.332540 -0.099996
0.359354 0.018500 -1.920914 0.306164 -0.139783
0.373728 0.039478 -1.720209 0.265570 -0.190375
0.388102 0.061050 -1.517995 0.220327 -0.234990
0.402476 0.081869 -1.351098 0.181936 -0.261141
0.416850 0.101680 -1.207643 0.147680 -0.286220
0.431225 0.121122 -1.050796 0.106192 -0.317854
0.445599 0.140094 -0.889412 0.060204 -0.345612
0.459973 0.158052 -0.747693 0.018064 -0.366939
0.474347 0.174881 -0.616976 -0.022694 -0.388250
0.488721 0.190786 -0.488966 -0.064697 -0.412156
0.503095 0.206084 -0.359073 -0.109469 -0.439940
0.517469 0.222193 -0.216771 -0.158667 -0.470109
0.531844 0.239741 -0.066564 -0.210337 -0.502262
0.546218 0.258691 0.080439 -0.260523 -0.533701
0.560592 0.279001 0.216148 -0.306039 -0.564217
0.574966 0.300634 0.344780 -0.348709 -0.596213
0.589340 0.323558 0.470653 -0.390452 -0.629004
0.603714 0.347738 0.596745 -0.432620 -0.660939
0.618089 0.373141 0.715985 -0.472337 -0.691124
0.632463 0.399737 0.832245 -0.511229 -0.720663
0.646837 0.427500 0.950261 -0.551377 -0.749288
0.661211 0.456413 1.068798 -0.592222 -0.776384
0.675585 0.486451 1.180836 -0.630665 -0.801966
0.689959 0.517601 1.292610 -0.669321 -0.828302
0.704333 0.549848 1.406969 -0.709462 -0.855688
0.718708 0.583175 1.526187 -0.752141 -0.883507
0.733082 0.617564 1.648660 -0.796666 -0.910283
0.747456 0.653002 1.773886 -0.842776 -0.936534
0.761830 0.689466 1.897706 -0.888562 -0.960971
0.776204 0.726926 2.012154 -0.930457 -0.983655
0.790578 0.765395 2.143226 -0.979904 -1.008624
0.804953 0.804793 2.249168 -1.018406 -1.027750
0.819327 0.845152 2.377854 -1.067161 -1.052392
0.833701 0.886430 2.505157 -1.115401 -1.074113
0.848075 0.928570 2.618481 -1.157535 -1.091223
0.862449 0.971592 2.751224 -1.208216 -1.113166
0.876823 1.015405 2.865984 -1.250940 -1.127445
0.891197 1.060009 2.992552 -1.298704 -1.145273
0.905572 1.105364 3.121442 -1.347269 -1.161732
0.919946 1.151393 3.230564 -1.387093 -1.173129
0.934320 1.198147 3.389053 -1.447648 -1.194652
0.948694 1.245442 3.486424 -1.481886 -1.200915
0.963068 1.293318 3.637916 -1.538389 -1.216652
0.977442 1.341618 3.748025 -1.577155 -1.220438
0.991817 1.390290 3.863250 -1.617549 -1.223458
1.006191 1.439315 3.999538 -1.665859 -1.230568
1.020565 1.488506 4.085439 -1.693467 -1.224016
1.034939 1.537766 4.167393 -1.719104 -1.216758
1.049313 1.587022 4.274165 -1.753782 -1.214590
1.063687 1.636115 4.379987 -1.787347 -1.210348
1.078061 1.684811 4.485924 -1.820152 -1.202835
1.092436 1.732637 4.538628 -1.832769 -1.179216
1.106810 1.777831 4.630631 -1.856903 -1.156393
1.121184 1.803394 4.616648 -1.813767 -1.109211
1.135558 1.810634 4.531675 -1.746049 -0.933566
1.149932 1.794328 4.413468 -1.667882 -0.705459
1.164306 1.752043 4.257270 -1.578767 -0.447998
1.178680 1.709448 4.492059 -1.611075 -0.495613
1.193055 1.683401 4.844866 -1.673051 -0.676400
1.207429 1.651279 4.932625 -1.651293 -0.609712
1.221803 1.613126 5.014093 -1.625117 -0.542635
1.236177 1.573241 5.129646 -1.605502 -0.518696
1.250551 1.529124 5.193218 -1.569288 -0.456548
1.264925 1.469252 5.120566 -1.497285 -0.270376
1.279300 1.385134 4.928489 -1.397757 -0.018067
1.293674 1.310428 5.303408 -1.429516 -0.169439
1.308048 1.262599 5.725052 -1.462564 -0.475028
