# time bound_circ lift drag moment
0.029920 -1.472425 43.105104 -5.884340 -6.366085
0.044880 -1.718213 40.817344 -7.939348 -2.597543
0.059840 -1.515572 61.229437 -15.828853 -13.010066
0.074800 -1.264244 75.503224 -23.686471 -20.545717
0.089760 -1.375286 81.445938 -29.614598 -17.969214
0.104720 -1.391031 80.581557 -32.748468 -17.688450
0.119680 -1.489023 87.778075 -38.619516 -20.651265
0.134640 -1.557579 92.884194 -43.030415 -21.908866
0.149600 -1.507254 101.850027 -48.384168 -23.745086
0.164560 -1.450095 108.659136 -51.602084 -25.318965
0.179520 -1.380434 115.455378 -53.426272 -27.171045
0.194480 -1.273315 120.191886 -52.789133 -28.749341
0.209440 -1.128917 121.180432 -49.124687 -29.620271
0.224399 -0.951379 118.032271 -42.809458 -29.426822
0.239359 -0.751963 109.821527 -34.344672 -27.753794
0.254319 -0.549950 95.405747 -24.533364 -24.347056
0.269279 -0.367474 75.033192 -14.823984 -19.288725
0.284239 -0.220437 50.335126 -6.834710 -13.082024
0.299199 -0.119184 23.665249 -1.791108 -6.304524
0.314159 -0.072672 -2.487329 -0.226823 0.489550
0.329119 -0.140954 -25.515463 -1.795915 6.757260
0.344079 -0.389777 -42.598402 -5.603349 12.162322
0.359039 -0.681338 -53.181676 -10.574168 16.354009
0.373999 -0.854479 -60.587292 -15.665302 18.732188
0.388959 -0.964794 -67.327353 -21.147299 19.654303
0.403919 -1.201616 -77.580487 -28.220523 22.941558
0.418879 -1.554528 -89.867135 -36.493957 25.650959
0.433839 -1.309697 -91.305678 -40.161599 17.457875
0.448799 -1.945033 -106.493050 -49.298394 33.023328
0.463759 -2.694055 -108.329242 -51.446179 34.006092
0.478719 -2.962473 -111.920436 -53.143341 28.079033
0.493679 -1.569431 -107.003368 -49.533437 11.120130
0.508639 -2.458319 -156.934658 -68.851144 48.376147
0.523599 -3.231520 -161.339113 -65.323347 50.026304
0.538559 -3.321480 -158.622964 -57.448490 42.465421
0.553519 -3.862750 -195.133884 -60.840046 64.455174
0.568479 -4.114529 -151.132763 -38.726717 45.594373
0.583439 -3.061093 -99.667394 -19.614993 15.955638
0.598399 -2.240598 -77.906167 -10.453111 14.050213
0.613359 -1.872339 -38.495877 -2.771111 5.409965
0.628319 -1.754179 -4.718991 -0.226823 -0.133016
