# time bound_circ lift drag moment
0.028677 0.279684 2.967803 0.094529 -0.465871
0.043016 0.335648 5.247327 0.248984 -1.596986
0.057354 0.403981 5.640024 0.352975 -1.789874
0.071693 0.466107 5.653408 0.436725 -1.727310
0.086032 0.520998 5.565228 0.508850 -1.618230
0.100370 0.571149 5.541747 0.583154 -1.550843
0.114709 0.618272 5.555637 0.659231 -1.509352
0.129048 0.663419 5.588540 0.736212 -1.482627
0.143386 0.707216 5.629357 0.813221 -1.463857
0.157725 0.750017 5.671228 0.889425 -1.448749
0.172063 0.792015 5.710331 0.964141 -1.434807
0.186402 0.833307 5.744922 1.036881 -1.420766
0.200741 0.873944 5.774436 1.107314 -1.406077
0.215079 0.913947 5.798944 1.175227 -1.390581
0.229418 0.938804 5.786176 1.258945 -1.379331
0.243757 0.952539 5.719578 1.333824 -1.301706
0.258095 0.953539 5.669089 1.411271 -1.190690
0.272434 0.944184 5.633036 1.491555 -1.097339
0.286772 0.927295 5.608588 1.574461 -1.019398
0.301111 0.904996 5.595521 1.660474 -0.952901
0.315450 0.878657 5.589510 1.748605 -0.894624
0.329788 0.849167 5.587270 1.837969 -0.842473
0.344127 0.817160 5.586560 1.927868 -0.795302
0.358466 0.783184 5.575826 2.013686 -0.752325
0.372804 0.747489 5.576089 2.103773 -0.713005
0.387143 0.710414 5.559159 2.186310 -0.676617
0.401481 0.672165 5.537312 2.266007 -0.643120
0.415820 0.632790 5.517729 2.345981 -0.611543
0.430159 0.592384 5.472183 2.412573 -0.577446
0.444497 0.550865 5.431486 2.479989 -0.539752
0.458836 0.508437 5.388343 2.544649 -0.507560
0.473175 0.465430 5.322095 2.595330 -0.478391
0.487513 0.421789 5.280667 2.657341 -0.451255
0.501852 0.377668 5.215895 2.704478 -0.422029
0.516190 0.333069 5.177005 2.764355 -0.395287
0.530529 0.288189 5.117270 2.810116 -0.368289
0.544868 0.243091 5.076190 2.865085 -0.344177
0.559206 0.197957 4.997991 2.894822 -0.319825
0.573545 0.152821 4.933881 2.930740 -0.300627
0.587884 0.107851 4.863491 2.959935 -0.283927
0.602222 0.063317 4.794612 2.987379 -0.270415
0.616561 0.019374 4.727503 3.013286 -0.258806
0.630899 -0.023682 4.659209 3.035605 -0.251307
0.645238 -0.064978 4.597445 3.059851 -0.254871
0.659577 -0.103978 4.540832 3.085266 -0.264260
0.673915 -0.140639 4.487124 3.110347 -0.275717
0.688254 -0.173154 4.426544 3.127645 -0.311452
0.702593 -0.200254 4.378366 3.151968 -0.363115
0.716931 -0.219122 4.313321 3.160402 -0.455680
0.731270 -0.225822 4.276640 3.189017 -0.606145
0.745608 -0.238262 4.225374 3.203408 -0.522172
0.759947 -0.252341 4.139328 3.185951 -0.486887
0.774286 -0.273980 4.056362 3.167592 -0.371585
0.788624 -0.291008 3.987609 3.158112 -0.412185
0.802963 -0.311551 3.905104 3.133450 -0.345552
0.817302 -0.338938 3.800476 3.085639 -0.234561
0.831640 -0.367216 3.679311 3.018969 -0.205125
0.845979 -0.391219 3.592327 2.979336 -0.248558
0.860317 -0.404946 3.545771 2.973725 -0.373096
0.874656 -0.407887 3.525727 2.990422 -0.505527
0.888995 -0.424190 3.481858 2.982589 -0.318580
0.903333 -0.449674 3.386838 2.923392 -0.179564
0.917672 -0.474477 3.305949 2.874439 -0.174104
0.932011 -0.496732 3.248499 2.845239 -0.193399
0.946349 -0.518579 3.192862 2.815205 -0.183369
0.960688 -0.541601 3.120890 2.766480 -0.154611
0.975026 -0.565037 3.041739 2.707892 -0.139314
0.989365 -0.587447 2.971490 2.655496 -0.145264
1.003704 -0.607986 2.919339 2.618809 -0.163011
1.018042 -0.626002 2.883984 2.596878 -0.188248
1.032381 -0.641223 2.861035 2.585530 -0.214140
1.046720 -0.656488 2.827981 2.561970 -0.200460
1.061058 -0.674190 2.773085 2.514108 -0.155843
1.075397 -0.693749 2.709037 2.454851 -0.120250
1.089735 -0.713968 2.645515 2.394190 -0.101333
1.104074 -0.734151 2.584514 2.334294 -0.092639
1.118413 -0.753801 2.529701 2.279064 -0.092027
1.132751 -0.772427 2.487646 2.235378 -0.098571
1.147090 -0.789797 2.458919 2.203900 -0.107249
1.161429 -0.805972 2.436054 2.176990 -0.113412
1.175767 -0.821601 2.410102 2.145503 -0.110041
1.190106 -0.837972 2.374459 2.102771 -0.089935
1.204444 -0.855825 2.330136 2.049988 -0.061083
1.218783 -0.874934 2.282496 1.992789 -0.036260
1.233122 -0.894735 2.235643 1.935468 -0.019885
1.247460 -0.914770 2.192010 1.880570 -0.010510
1.261799 -0.934809 2.152566 1.829113 -0.005044
1.276138 -0.954784 2.116427 1.780244 -0.001160
1.290476 -0.974648 2.082371 1.732784 0.001454
1.304815 -0.994296 2.050280 1.686661 0.002115
1.319153 -1.013577 2.020800 1.642540 0.000305
1.333492 -1.032324 1.994648 1.601122 -0.004066
1.347831 -1.050418 1.971921 1.562486 -0.010286
1.362169 -1.067841 1.951652 1.525692 -0.017067
1.376508 -1.084631 1.932803 1.489767 -0.023708
1.390847 -1.100818 1.915015 1.454391 -0.030183
1.405185 -1.116442 1.897872 1.419214 -0.036264
1.419524 -1.131568 1.880556 1.383531 -0.041519
1.433862 -1.146286 1.862375 1.346794 -0.045669
1.448201 -1.160694 1.842953 1.308754 -0.048614
1.462540 -1.174869 1.822113 1.269362 -0.050586
1.476878 -1.188852 1.799923 1.228781 -0.052077
1.491217 -1.202649 1.776582 1.187283 -0.053502
1.505556 -1.216253 1.752405 1.145223 -0.055180
1.519894 -1.229640 1.727897 1.103094 -0.057366
1.534233 -1.242788 1.703531 1.061332 -0.060107
1.548571 -1.255686 1.679394 1.020043 -0.063233
1.562910 -1.268335 1.655214 0.979053 -0.066586
1.577249 -1.280742 1.630666 0.938160 -0.070159
1.591587 -1.292910 1.605559 0.897277 -0.074046
1.605926 -1.304840 1.579865 0.856446 -0.078349
1.620265 -1.316528 1.553723 0.815824 -0.083152
1.634603 -1.327962 1.527363 0.775622 -0.088493
1.648942 -1.339117 1.500969 0.736002 -0.094371
1.663280 -1.349961 1.474603 0.697034 -0.100787
1.677619 -1.360455 1.448257 0.658735 -0.107777
1.691958 -1.370560 1.421908 0.621112 -0.115383
1.706296 -1.380237 1.395513 0.584159 -0.123628
1.720635 -1.389456 1.369003 0.547858 -0.132522
1.734974 -1.398189 1.342326 0.512198 -0.142095
1.749312 -1.406409 1.315502 0.477215 -0.152421
1.763651 -1.414084 1.288649 0.442993 -0.163618
1.777989 -1.421174 1.261965 0.409649 -0.175825
1.792328 -1.428409 1.234420 0.378346 -0.189381
1.806667 -1.435788 1.208141 0.349691 -0.201609
1.821005 -1.443290 1.183476 0.323452 -0.213425
1.835344 -1.450888 1.160477 0.299420 -0.225771
1.849683 -1.458552 1.139164 0.277424 -0.238982
1.864021 -1.466246 1.119546 0.257309 -0.253263
1.878360 -1.473932 1.101728 0.238971 -0.268838
1.892698 -1.481567 1.085972 0.222371 -0.285959
1.907037 -1.489105 1.072662 0.207501 -0.304854
1.921376 -1.496500 1.062144 0.194321 -0.325648
1.935714 -1.503704 1.054586 0.182708 -0.348355
1.950053 -1.510659 1.049990 0.172474 -0.372948
1.964392 -1.517301 1.048321 0.163419 -0.399452
1.978730 -1.523553 1.049632 0.155371 -0.427970
1.993069 -1.529332 1.054066 0.148184 -0.458659
2.007407 -1.534546 1.061825 0.141719 -0.491691
