# time bound_circ lift drag moment
0.014345 0.356439 3.689573 0.049839 -0.749729
0.021518 0.358507 5.712129 0.179898 -1.481115
0.028690 0.411921 7.269806 0.337289 -2.650171
0.035863 0.462961 7.515797 0.450743 -2.702861
0.043036 0.511981 7.528482 0.551854 -2.661629
0.050208 0.555522 7.372542 0.637471 -2.513419
0.057381 0.595019 7.271933 0.723752 -2.403659
0.064553 0.631675 7.228773 0.813049 -2.331157
0.071726 0.666391 7.223338 0.905069 -2.284762
0.078898 0.699751 7.238131 0.998825 -2.253978
0.086071 0.732125 7.262219 1.093432 -2.232039
0.093244 0.763743 7.288761 1.188123 -2.214546
0.100416 0.794738 7.313471 1.282234 -2.198634
0.107589 0.825178 7.333890 1.375229 -2.182541
0.114761 0.855095 7.348933 1.466727 -2.165344
0.121934 0.884500 7.358535 1.556508 -2.146734
0.129107 0.913396 7.363329 1.644508 -2.126834
0.136279 0.941786 7.364404 1.730804 -2.106041
0.143452 0.969676 7.363176 1.815609 -2.084963
0.150624 0.997087 7.361283 1.899265 -2.064418
0.157797 1.024054 7.360083 1.982118 -2.045230
0.164969 1.050630 7.359813 2.064258 -2.027723
0.172142 1.076861 7.359265 2.145349 -2.011390
0.179315 1.102774 7.356564 2.224783 -1.995213
0.186487 1.128376 7.350373 2.302033 -1.978346
0.193660 1.153663 7.340382 2.376858 -1.960496
0.200832 1.178629 7.326934 2.449228 -1.941776
0.208005 1.203274 7.310440 2.519158 -1.922376
0.215178 1.227595 7.291121 2.586610 -1.902393
0.222350 1.251592 7.269064 2.651506 -1.881842
0.229523 1.275263 7.244334 2.713761 -1.860717
0.236695 1.292282 7.201003 2.780293 -1.841163
0.243868 1.303245 7.121921 2.839349 -1.787284
0.251041 1.309663 7.031354 2.891351 -1.677442
0.258213 1.311320 6.944366 2.942761 -1.561576
0.265386 1.308979 6.859781 2.993151 -1.459282
0.272558 1.303149 6.778397 3.042993 -1.365415
0.279731 1.294240 6.700647 3.092618 -1.278480
0.286903 1.282610 6.626677 3.142233 -1.197720
0.294076 1.268579 6.556390 3.191922 -1.122645
0.301249 1.252441 6.489475 3.241652 -1.052854
0.308421 1.234459 6.425476 3.291290 -0.987925
0.315594 1.214867 6.363845 3.340629 -0.927398
0.322766 1.193871 6.303987 3.389404 -0.870791
0.329939 1.171646 6.245299 3.437311 -0.817635
0.337112 1.148341 6.187206 3.484032 -0.767484
0.344284 1.124081 6.129177 3.529246 -0.719943
0.351457 1.098972 6.070657 3.572585 -0.674665
0.358629 1.073098 6.011180 3.613712 -0.631342
0.365802 1.046529 5.950101 3.652140 -0.589648
0.372974 1.019318 5.886619 3.687251 -0.549149
0.380147 0.991497 5.819510 3.718085 -0.509119
0.387320 0.963070 5.747031 3.743259 -0.468319
0.394492 0.934010 5.667255 3.761164 -0.425004
0.401665 0.904266 5.579855 3.771251 -0.377910
0.408837 0.873820 5.488890 3.776198 -0.328532
0.416010 0.842741 5.403086 3.782413 -0.281958
0.423183 0.811171 5.326801 3.793417 -0.242193
0.430355 0.779236 5.255735 3.806220 -0.208143
0.437528 0.747024 5.185416 3.817466 -0.176923
0.444700 0.714601 5.113886 3.825587 -0.146952
0.451873 0.682009 5.041039 3.830430 -0.117173
0.459046 0.649268 4.965827 3.831058 -0.086616
0.466218 0.616373 4.887939 3.827098 -0.054618
0.473391 0.583323 4.808442 3.819345 -0.021948
0.480563 0.550158 4.728726 3.808933 0.009435
0.487736 0.516966 4.651201 3.797966 0.037851
0.494908 0.483834 4.576509 3.787088 0.063631
0.502081 0.450806 4.503037 3.774931 0.088436
0.509254 0.417918 4.429371 3.760232 0.112075
0.516426 0.385281 4.357013 3.744373 0.132108
0.523599 0.353068 4.288542 3.729823 0.147071
0.530771 0.321381 4.222935 3.715739 0.159710
0.537944 0.290154 4.155407 3.697592 0.174472
0.545117 0.259320 4.083246 3.672661 0.190597
0.552289 0.229085 4.010791 3.645077 0.200178
0.559462 0.199990 3.947363 3.624147 0.194474
0.566634 0.172547 3.897459 3.614714 0.175208
0.573807 0.146847 3.854292 3.610280 0.154068
0.580979 0.122790 3.807234 3.600091 0.135553
0.588152 0.100578 3.754345 3.582001 0.110859
0.595325 0.080677 3.702732 3.563305 0.073029
0.602497 0.063270 3.655493 3.547327 0.029746
0.609670 0.048045 3.608421 3.529695 -0.006130
0.616842 0.034257 3.558336 3.506983 -0.023306
0.624015 0.021100 3.505505 3.479405 -0.019979
0.631188 0.007395 3.448996 3.445882 0.015060
0.638360 -0.007367 3.382905 3.399812 0.064027
0.645533 -0.023213 3.308001 3.341847 0.113566
0.652705 -0.039777 3.227720 3.275668 0.152845
0.659878 -0.056353 3.148633 3.208615 0.172487
0.667050 -0.072441 3.077465 3.148395 0.178364
0.674223 -0.088178 3.013605 3.094526 0.187880
0.681396 -0.103890 2.950656 3.039855 0.205081
0.688568 -0.119809 2.894176 2.990855 0.227225
0.695741 -0.137439 2.840593 2.943543 0.290491
0.702913 -0.156513 2.779412 2.885796 0.347472
