# time bound_circ lift drag moment
0.028602 0.088516 0.832156 0.009138 -0.125959
0.042903 0.094689 1.321089 0.021979 -0.330742
0.057204 0.112581 1.471793 0.032574 -0.445408
0.071506 0.127408 1.470526 0.040457 -0.418972
0.085807 0.141564 1.488929 0.048809 -0.413309
0.100108 0.154820 1.500952 0.056948 -0.403753
0.114409 0.167446 1.514994 0.065140 -0.396499
0.128710 0.179610 1.530992 0.073415 -0.390979
0.143011 0.191436 1.548747 0.081795 -0.386880
0.157312 0.203010 1.567850 0.090282 -0.383824
0.171613 0.214395 1.587995 0.098879 -0.381550
0.185914 0.225636 1.608905 0.107582 -0.379848
0.200216 0.236766 1.630310 0.116381 -0.378542
0.214517 0.247810 1.652014 0.125267 -0.377508
0.228818 0.258787 1.673903 0.134235 -0.376669
0.243119 0.269711 1.695918 0.143281 -0.375980
0.257420 0.280595 1.718018 0.152402 -0.375408
0.271721 0.291448 1.740180 0.161597 -0.374932
0.286022 0.302278 1.762395 0.170865 -0.374540
0.300323 0.313093 1.784657 0.180205 -0.374223
0.314624 0.323897 1.806961 0.189616 -0.373974
0.328926 0.334697 1.829294 0.199097 -0.373782
0.343227 0.345496 1.851638 0.208645 -0.373637
0.357528 0.356298 1.873975 0.218258 -0.373529
0.371829 0.367105 1.896290 0.227931 -0.373447
0.386130 0.377921 1.918573 0.237663 -0.373387
0.400431 0.388747 1.940818 0.247451 -0.373344
0.414732 0.399584 1.963024 0.257295 -0.373316
0.429033 0.410435 1.985192 0.267192 -0.373303
0.443334 0.421299 2.007323 0.277142 -0.373304
0.457635 0.432179 2.029414 0.287143 -0.373318
0.471937 0.443076 2.051459 0.297193 -0.373343
0.486238 0.453989 2.073450 0.307289 -0.373375
0.500539 0.464920 2.095378 0.317427 -0.373410
0.514840 0.475869 2.117235 0.327605 -0.373445
0.529141 0.486836 2.139014 0.337819 -0.373477
0.543442 0.497821 2.160712 0.348067 -0.373505
0.557743 0.508824 2.182325 0.358347 -0.373527
0.572044 0.519846 2.203852 0.368656 -0.373544
0.586345 0.530885 2.225292 0.378992 -0.373554
0.600647 0.541941 2.246643 0.389353 -0.373557
0.614948 0.553015 2.267902 0.399737 -0.373552
0.629249 0.564106 2.289067 0.410141 -0.373539
0.643550 0.575213 2.310136 0.420563 -0.373517
0.657851 0.586336 2.331108 0.431000 -0.373486
0.672152 0.597476 2.351980 0.441450 -0.373446
0.686453 0.608630 2.372752 0.451912 -0.373395
0.700754 0.619799 2.393421 0.462382 -0.373335
0.715055 0.630982 2.413985 0.472858 -0.373263
0.729357 0.642179 2.434444 0.483337 -0.373181
0.743658 0.653388 2.454795 0.493819 -0.373087
0.757959 0.664416 2.474563 0.504511 -0.373057
0.772260 0.670139 2.478955 0.520002 -0.374541
0.786561 0.672348 2.475788 0.533216 -0.347625
0.800862 0.671096 2.475317 0.547271 -0.321118
0.815163 0.666873 2.475815 0.561659 -0.297508
0.829464 0.660050 2.477759 0.576553 -0.275856
0.843765 0.650896 2.481251 0.592016 -0.255766
0.858067 0.639615 2.486262 0.608063 -0.237060
0.872368 0.626389 2.492684 0.624688 -0.219673
0.886669 0.611390 2.500458 0.641894 -0.203569
0.900970 0.594782 2.509522 0.659685 -0.188711
0.915271 0.576722 2.519809 0.678061 -0.175058
0.929572 0.557359 2.531271 0.697026 -0.162565
0.943873 0.536829 2.543927 0.716611 -0.151192
0.958174 0.515261 2.557718 0.736815 -0.140892
0.972475 0.492777 2.571708 0.757296 -0.131538
0.986777 0.469496 2.584596 0.777545 -0.122945
1.001078 0.445509 2.601124 0.799447 -0.115569
1.015379 0.420875 2.625163 0.824646 -0.109853
1.029680 0.395732 2.631401 0.842814 -0.102651
1.043981 0.370154 2.643299 0.863472 -0.096691
1.058282 0.344092 2.690515 0.899355 -0.096672
1.072583 0.317807 2.660186 0.902356 -0.085982
1.086884 0.291103 2.729547 0.948714 -0.089836
1.101185 0.264298 2.692393 0.948627 -0.080711
1.115486 0.237165 2.759991 0.995338 -0.085317
1.129788 0.209859 2.751911 1.008349 -0.080048
1.144089 0.182558 2.739375 1.019239 -0.077705
1.158390 0.155106 2.764022 1.047477 -0.077062
1.172691 0.127392 2.818859 1.090441 -0.083068
1.186992 0.099491 2.796125 1.096734 -0.071794
1.201293 0.071471 2.826093 1.128540 -0.075939
1.215594 0.043280 2.853268 1.159394 -0.078199
1.229895 0.015242 2.770978 1.135754 -0.062148
1.244196 -0.012919 2.896158 1.216477 -0.087107
1.258498 -0.041308 2.845410 1.208380 -0.064102
1.272799 -0.069560 2.898804 1.253915 -0.083750
1.287100 -0.097824 2.837524 1.239732 -0.062944
1.301401 -0.126272 2.956373 1.320955 -0.083826
1.315702 -0.154565 2.885324 1.301181 -0.071036
1.330003 -0.182961 2.948694 1.354043 -0.078439
1.344304 -0.211174 2.904460 1.348242 -0.073534
1.358605 -0.239447 2.996076 1.417999 -0.093666
1.372906 -0.267510 2.878543 1.370509 -0.066669
1.387208 -0.295426 3.027435 1.474266 -0.107905
1.401509 -0.323442 2.936502 1.440971 -0.072167
1.415810 -0.350951 3.001717 1.498134 -0.108144
1.430111 -0.378552 2.983998 1.507022 -0.089579
1.444412 -0.405922 3.035952 1.557551 -0.108851
1.458713 -0.432821 2.971765 1.538358 -0.104223
1.473014 -0.459752 3.054210 1.608354 -0.112355
1.487315 -0.486310 3.037485 1.618001 -0.120253
1.501616 -0.512473 3.010499 1.621050 -0.118392
1.515918 -0.538340 3.051057 1.666640 -0.132706
1.530219 -0.563962 3.062133 1.693957 -0.137721
1.544520 -0.588972 3.039346 1.699551 -0.146564
1.558821 -0.613794 3.073578 1.742254 -0.146803
1.573122 -0.637916 3.107772 1.785483 -0.174141
1.587423 -0.661774 3.034479 1.757350 -0.144875
1.601724 -0.684782 3.149390 1.855507 -0.200408
1.616025 -0.707596 3.066551 1.820269 -0.163533
1.630326 -0.729325 3.146032 1.895976 -0.219069
1.644628 -0.750654 3.065981 1.861640 -0.187946
1.658929 -0.771029 3.199818 1.976931 -0.246281
1.673230 -0.790986 3.139079 1.955742 -0.224285
1.687531 -0.809857 3.161240 1.993360 -0.251697
1.701832 -0.827670 3.173219 2.023989 -0.267617
1.716133 -0.844390 3.166024 2.040814 -0.274323
1.730434 -0.859827 3.208143 2.094149 -0.306138
1.744735 -0.874036 3.168790 2.087242 -0.305373
