# time bound_circ lift drag moment
0.028693 0.324943 3.173120 0.127802 -0.556103
0.043039 0.400543 6.097669 0.378165 -2.048176
0.057385 0.482712 6.553720 0.542762 -2.230749
0.071731 0.556549 6.479729 0.668791 -2.115275
0.086078 0.620958 6.358086 0.783390 -1.976658
0.100424 0.679400 6.327422 0.903804 -1.896004
0.114770 0.734145 6.347352 1.029057 -1.850126
0.129117 0.786554 6.391500 1.157417 -1.823427
0.143463 0.837421 6.444560 1.287255 -1.806579
0.157809 0.887182 6.497700 1.417147 -1.793964
0.172155 0.936062 6.546364 1.546001 -1.782475
0.186502 0.984174 6.588792 1.673100 -1.770685
0.200848 1.031574 6.624665 1.798002 -1.758073
0.215194 1.078293 6.654386 1.920459 -1.744581
0.229541 1.124349 6.678729 2.040377 -1.730385
0.243887 1.158310 6.672738 2.169938 -1.719537
0.258233 1.178052 6.604254 2.292147 -1.661925
0.272579 1.183532 6.536225 2.412791 -1.543524
0.286926 1.176745 6.486586 2.539645 -1.440319
0.301272 1.161045 6.448580 2.670969 -1.355009
0.315618 1.139028 6.421426 2.807258 -1.282431
0.329964 1.112352 6.400973 2.947269 -1.218853
0.344311 1.082064 6.383103 3.089390 -1.161975
0.358657 1.048879 6.365536 3.232630 -1.110554
0.373003 1.013352 6.343117 3.374129 -1.063894
0.387350 0.975915 6.308575 3.509248 -1.020617
0.401696 0.936819 6.276575 3.646273 -0.981491
0.416042 0.896160 6.248156 3.786128 -0.945449
0.430388 0.854209 6.184182 3.902719 -0.909669
0.444735 0.811017 6.110034 4.011089 -0.872377
0.459081 0.766631 6.019778 4.106104 -0.830911
0.473427 0.721168 5.953540 4.216777 -0.799144
0.487774 0.674726 5.873744 4.315624 -0.764064
0.502120 0.627471 5.782362 4.403094 -0.730960
0.516466 0.579386 5.686573 4.484199 -0.693171
0.530812 0.530383 5.610860 4.579798 -0.658435
0.545159 0.480623 5.549505 4.686467 -0.629785
0.559505 0.430526 5.395738 4.706211 -0.591314
0.573851 0.379922 5.353493 4.826335 -0.572531
0.588198 0.329075 5.225532 4.861543 -0.543818
0.602544 0.278596 5.092433 4.886112 -0.526715
0.616890 0.228461 5.018421 4.967178 -0.515115
0.631236 0.179150 4.917839 5.017165 -0.504523
0.645583 0.130841 4.814158 5.059653 -0.492380
0.659929 0.083476 4.707491 5.094319 -0.480217
0.674275 0.037830 4.602134 5.125812 -0.479899
0.688622 -0.005493 4.504501 5.161964 -0.485209
0.702968 -0.046703 4.402784 5.188535 -0.489874
0.717314 -0.083517 4.294004 5.201041 -0.528518
0.731660 -0.112938 4.202750 5.231330 -0.607414
0.746007 -0.128700 4.103971 5.246789 -0.776606
0.760353 -0.122018 4.048749 5.318418 -1.069099
0.774699 -0.109635 3.973421 5.358808 -1.135661
0.789046 -0.117391 3.854895 5.331071 -0.865206
0.803392 -0.136126 3.751425 5.318887 -0.701123
0.817738 -0.171732 3.599241 5.223782 -0.436425
0.832084 -0.202871 3.441167 5.108466 -0.463192
0.846431 -0.213279 3.323751 5.048722 -0.726997
0.860777 -0.213586 3.281773 5.108178 -0.851710
0.875123 -0.242532 3.186648 5.073061 -0.452520
0.889469 -0.275050 3.060667 4.976024 -0.376234
0.903816 -0.305835 2.921428 4.844893 -0.387111
0.918162 -0.329581 2.824213 4.780661 -0.478495
0.932508 -0.341400 2.781103 4.811526 -0.628360
0.946855 -0.353306 2.729341 4.821970 -0.608141
0.961201 -0.366056 2.637078 4.747222 -0.580590
0.975547 -0.378812 2.557314 4.689690 -0.566001
0.989893 -0.386140 2.467790 4.604543 -0.627986
1.004240 -0.389915 2.410585 4.579577 -0.664566
1.018586 -0.412164 2.334361 4.507707 -0.400651
1.032932 -0.438630 2.261044 4.434713 -0.320197
1.047279 -0.463721 2.196560 4.374131 -0.320458
1.061625 -0.487263 2.132579 4.307887 -0.326207
1.075971 -0.509462 2.069617 4.237137 -0.331615
1.090317 -0.529538 2.016982 4.183915 -0.348396
1.104664 -0.548625 1.970453 4.139187 -0.347808
1.119010 -0.568423 1.917393 4.072772 -0.323430
1.133356 -0.588755 1.860264 3.990020 -0.303336
1.147703 -0.609164 1.805283 3.906090 -0.292087
1.162049 -0.628704 1.758410 3.836333 -0.295320
1.176395 -0.645480 1.725552 3.796667 -0.323670
1.190741 -0.659417 1.702600 3.777643 -0.350531
1.205088 -0.673860 1.673844 3.738950 -0.330178
